area,intensity_mean,intensity_std,intensity_max,intensity_min,perimeter,cell_id,image_id,condition
1146.0,1377.995636998255,622.5753996530987,2927.0,191.0,128.3259018078045,41,F01_202,control
7342.0,891.3057749931899,496.56129469223237,3153.0,148.0,490.84271247461896,42,F01_202,control
1493.0,1153.0281312793034,600.8488987047181,3170.0,181.0,172.8111831820431,43,F01_202,control
4633.0,580.5132743362832,289.1078238074283,2150.0,124.0,439.0609665440988,45,F01_202,control
4383.0,886.05247547342,673.1159823515984,3208.0,145.0,454.4751801064719,46,F01_202,control
6771.0,636.9772559444691,395.2329446842571,3369.0,136.0,583.9676041556469,47,F01_202,control
3487.0,904.4568396902782,556.3365981619093,2871.0,144.0,421.1198410471445,48,F01_202,control
3435.0,512.7510917030568,359.325305891033,1930.0,136.0,308.04877323527904,49,F01_202,control
3970.0,413.35994962216625,250.60810707755437,1327.0,139.0,317.1848122046001,50,F01_202,control
4336.0,685.3459409594096,348.49138994713775,2080.0,133.0,331.7766952966369,51,F01_202,control
3533.0,583.0045287291254,364.0195840211892,2028.0,126.0,304.1137443927346,52,F01_202,control
4712.0,639.3786078098472,363.0717523001005,1977.0,136.0,588.0731598529186,53,F01_202,control
9925.0,388.63455919395466,164.27072069361185,1348.0,124.0,488.17366491630685,54,F01_202,control
3105.0,618.8702093397745,291.7523405954978,2001.0,136.0,277.2081528017131,55,F01_202,control
5283.0,746.8419458640924,464.46445727289847,2709.0,148.0,722.2813126546316,56,F01_202,control
3951.0,622.4095165780815,273.03230057211454,1424.0,123.0,281.651803615609,57,F01_202,control
6008.0,520.7757989347537,299.79522777289225,1607.0,148.0,470.611219075793,58,F01_202,control
4147.0,427.87412587412587,333.2576615595107,1781.0,96.0,343.26197667087547,59,F01_202,control
7619.0,340.75534847092797,147.0355231484388,1040.0,130.0,442.0376259469858,60,F01_202,control
9089.0,565.9597315436241,299.9763916448363,1818.0,139.0,593.564537881567,61,F01_202,control
3021.0,750.8298576630255,381.2494921814228,1833.0,121.0,353.1787155501902,62,F01_202,control
8045.0,526.5996270975761,460.82320662989775,2573.0,127.0,726.2152954766494,64,F01_202,control
5224.0,591.6416539050535,302.0848736678968,1842.0,130.0,408.16756826189703,65,F01_202,control
3173.0,600.9930664985818,277.22849902289886,1678.0,136.0,358.8061325481598,66,F01_202,control
2997.0,1139.016016016016,654.0726928239004,3095.0,165.0,238.10764773832472,67,F01_202,control
3683.0,572.282106978007,338.88318353092853,1701.0,132.0,303.94826817189073,68,F01_202,control
4577.0,547.7920034957396,301.45981651236497,1641.0,156.0,347.3624817342638,69,F01_202,control
11277.0,463.25866808548375,235.90889189078808,1494.0,114.0,600.9137802864846,70,F01_202,control
3652.0,651.4759036144578,380.6784019292102,1739.0,153.0,359.33304448274095,71,F01_202,control
10223.0,390.00870585933677,164.39906076732188,1357.0,136.0,755.4112549695428,72,F01_202,control
4022.0,613.1315266036797,335.67050225206685,1820.0,142.0,413.0548698896889,73,F01_202,control
3982.0,533.2255148166751,165.0533508011021,1125.0,130.0,348.9188309203679,74,F01_202,control
4145.0,727.309047044632,432.53188817110106,2691.0,162.0,346.0548698896889,75,F01_202,control
2898.0,561.1483781918564,250.23858194570064,1353.0,172.0,311.4629867976521,76,F01_202,control
8190.0,490.27130647130645,225.86742066168807,1723.0,139.0,487.8305191657993,77,F01_202,control
4238.0,565.647711184521,311.3514199566357,1863.0,144.0,337.26197667087547,78,F01_202,control
6388.0,706.8616155291171,331.3017274903519,1762.0,147.0,418.8183258569795,79,F01_202,control
9504.0,308.166351010101,106.67037655275759,1124.0,159.0,416.3330444827409,80,F01_202,control
2878.0,1134.4447533009034,716.9934589127148,3076.0,182.0,245.94217151748083,81,F01_202,control
1881.0,732.437533227007,226.54591599095735,1388.0,196.0,232.24978336205572,83,F01_202,control
4198.0,704.4480705097666,275.07898132965283,1605.0,162.0,472.6173157302028,85,F01_202,control
